日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20210630,6325,タカキタ,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6326,クボタ,市場第一部（内国株）,3600,機械,8,機械 ,2,TOPIX Large70
20210630,6327,北川精機,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6328,荏原実業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6330,東洋エンジニアリング,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20210630,6331,三菱化工機,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6332,月島機械,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6333,帝国電機製作所,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6334,明治機械,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6335,東京機械製作所,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6336,石井表記,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6337,テセック,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6338,タカトリ,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6339,新東工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6340,澁谷工業,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6342,太平製作所,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6343,フリージア・マクロス,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6345,アイチ　コーポレーション,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6346,キクカワエンタープライズ,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6347,プラコー,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,-,-
20210630,6349,小森コーポレーション,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
20210630,6351,鶴見製作所,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6355,住友精密工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6356,日本ギア工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6357,三精テクノロジーズ,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6358,酒井重工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6360,東京自働機械製作所,市場第二部（内国株）,3600,機械,8,機械 ,-,-
20210630,6361,荏原製作所,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
20210630,6362,石井鐵工所,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6363,酉島製作所,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6364,北越工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
